"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"1/14/2017","1484352000","22409886093","9.78"
"1/15/2017","1484438400","22419878847","9.88"
"1/16/2017","1484524800","22395773525","9.59"
"1/17/2017","1484611200","22742343222","10.14"
"1/18/2017","1484697600","22420105832","10.19"
"1/19/2017","1484784000","22228644380","10.43"
"1/20/2017","1484870400","22369863556","10.60"
"1/21/2017","1484956800","22405633901","10.91"
"1/22/2017","1485043200","22118050371","10.71"
"1/23/2017","1485129600","22267116021","10.78"
"1/24/2017","1485216000","22081334070","10.51"
"1/25/2017","1485302400","22329866070","10.51"
"1/26/2017","1485388800","22478987111","10.65"
"1/27/2017","1485475200","22449741445","10.51"
"1/28/2017","1485561600","22219721089","10.54"
"1/29/2017","1485648000","22393586898","10.47"
"1/30/2017","1485734400","22234080218","10.62"
"1/31/2017","1485820800","23010693003","10.71"
"2/1/2017","1485907200","22534983936","10.71"
"2/2/2017","1485993600","22623466807","10.78"
"2/3/2017","1486080000","22508635957","10.95"
"2/4/2017","1486166400","22623314914","11.32"
"2/5/2017","1486252800","22331019732","11.22"
"2/6/2017","1486339200","22488425969","11.32"
"2/7/2017","1486425600","22381838948","11.45"
"2/8/2017","1486512000","22770223820","11.39"
"2/9/2017","1486598400","22865377988","10.94"
"2/10/2017","1486684800","22403621823","11.34"
"2/11/2017","1486771200","22195555854","11.43"
"2/12/2017","1486857600","22626108892","11.42"
"2/13/2017","1486944000","23210412106","11.39"
"2/14/2017","1487030400","22818886821","13.00"
"2/15/2017","1487116800","31915437681","12.97"
"2/16/2017","1487203200","22602328224","12.95"
"2/17/2017","1487289600","22533195533","12.72"
"2/18/2017","1487376000","23057941420","12.83"
"2/19/2017","1487462400","22391656238","12.82"
"2/20/2017","1487548800","22466228953","12.52"
"2/21/2017","1487635200","22569187220","12.77"
"2/22/2017","1487721600","22844411723","12.69"
"2/23/2017","1487808000","22741575515","13.13"
"2/24/2017","1487894400","22755690878","13.11"
"2/25/2017","1487980800","22580332911","13.57"
"2/26/2017","1488067200","22771424431","14.59"
"2/27/2017","1488153600","23193818563","15.55"
